"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.X4mm","sqrt.X2mm","sqrt.X1mm","sqrt.X500um","fetch","org","snapper","lobster","Status","Distance","cumsum.wi"
"CPN.sqrt.X4mm+sqrt.X500um+Status","sqrt.X4mm+sqrt.X500um+Status",479.642217597407,522.676767371616,0.47183,NA,20.07,0,2.431,3.187,0.018,0.014,1,0,0,1,0,0,0,0,1,0,0.498
"CPN.sqrt.X4mm+fetch+lobster","sqrt.X4mm+fetch+lobster",479.672960029634,522.362372822011,0.45759,NA,19.68,0,2.462,2.872,0.018,0.016,1,0,0,0,1,0,0,1,0,0,0.516
"CPN.sqrt.X4mm+Status","sqrt.X4mm+Status",479.709795359168,522.451899096407,0.47796,NA,19.82,0,2.498,2.962,0.018,0.016,1,0,0,0,0,0,0,0,1,0,0.534
"CPN.sqrt.X2mm+lobster+Distance","sqrt.X2mm+lobster+Distance",479.787801405757,522.247872517036,0.45333,NA,19.53,0,2.576,2.758,0.017,0.017,0,1,0,0,0,0,0,1,0,1,0.551
"CPN.sqrt.X4mm+fetch","sqrt.X4mm+fetch",479.800250113978,522.568934146593,0.47558,NA,19.81,0,2.589,3.079,0.017,0.015,1,0,0,0,1,0,0,0,0,0,0.568
"CPN.sqrt.X500um+Status+Distance","sqrt.X500um+Status+Distance",479.923091821053,522.415419936469,0.474,NA,19.51,0,2.712,2.925,0.016,0.016,0,0,0,1,0,0,0,0,1,1,0.584
"CPN.Distance","Distance",479.97597674282,522.155984987439,0.48292,NA,19.27,0,2.765,2.666,0.015,0.018,0,0,0,0,0,0,0,0,0,1,0.599
"CPN.sqrt.X4mm+fetch+snapper","sqrt.X4mm+fetch+snapper",479.990755372925,522.840505965131,0.46456,NA,19.84,0,2.779,3.351,0.015,0.013,1,0,0,0,1,0,1,0,0,0,0.614
"CPN.snapper+Distance","snapper+Distance",480.105762810659,522.318054806322,0.47393,NA,19.23,0,2.894,2.828,0.014,0.017,0,0,0,0,0,0,1,0,0,1,0.628
"CPN.fetch+lobster+Distance","fetch+lobster+Distance",480.175879532209,522.470570697533,0.4583,NA,19.26,0,2.965,2.981,0.014,0.016,0,0,0,0,1,0,0,1,0,1,0.642
"CPN.sqrt.X4mm+fetch+Status","sqrt.X4mm+fetch+Status",480.187262319785,523.108439277508,0.4709,NA,19.93,0,2.976,3.618,0.014,0.011,1,0,0,0,1,0,0,0,1,0,0.656
"NA.sqrt.X4mm+Distance","sqrt.X4mm+Distance",477.211361111149,521.093352614688,0.49295,NA,20.9,0,0,1.603,0.061,0.031,1,0,0,0,0,0,0,0,0,1,0.061
"NA.sqrt.X4mm+fetch+Distance","sqrt.X4mm+fetch+Distance",477.40026937098,521.391999648418,0.48872,NA,21.06,0,0.189,1.902,0.056,0.027,1,0,0,0,1,0,0,0,0,1,0.117
"NA.sqrt.X1mm+lobster+Distance","sqrt.X1mm+lobster+Distance",477.515528727141,519.489945455275,0.44359,NA,19.05,0,0.304,0,0.053,0.069,0,0,1,0,0,0,0,1,0,1,0.17
"NA.sqrt.X1mm+Distance","sqrt.X1mm+Distance",477.877695247619,519.889490244463,0.45414,NA,19.11,0,0.666,0.4,0.044,0.056,0,0,1,0,0,0,0,0,0,1,0.214
"NA.sqrt.X1mm+snapper+Distance","sqrt.X1mm+snapper+Distance",478.147611241407,520.250863032048,0.44695,NA,19.14,0,0.936,0.761,0.038,0.047,0,0,1,0,0,0,1,0,0,1,0.252
